Question,Answer,Context
To Approve travel requests get started:,"Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Create additional workflows as needed
Publish your workflows, and let everyone know about your masterpiece","What’s Approve travel requests handy for?:Quickly implementing an approval process for new standards and procedures at your company – especially if the process is temporary, or when you lack the resources to build it into your system of record.A few uses for this workflow:Managers: manage and organize a team’s requests in one central location
Sales: request approval to visit key accounts during times of travel restrictionFor an approval process, you’ll create multiple workflows that operate in tandem. With one workflow, people will use a shortcut to submit a request for approval. The other workflows utilize the reaction-added trigger to ask follow up questions, approve/deny the request, or route to a private channel for discussion.. To Approve travel requests get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Create additional workflows as needed
Publish your workflows, and let everyone know about your masterpiece. See Approve travel requests in action:Creating and publishing these workflows takes less than 30 minutes. For this example, you will start by importing the downloadable template, selecting a channel for the workflow, and customizing the form fields to gather relevant information for the request. You can also include a message sent directly to the person who has submitted the request to inform them of next steps, an estimated response time, and provide a copy of their responses. 
Next, you’ll create a second workflow using the reaction-added trigger. Choose a reaction to use on the form response that is posted in the channel. If you want to prompt people to get their manager’s approval before proceeding with the review, you can use a reaction that sends a message to the Message thread. 
Repeat step 2 for each reaction that you want to use to indicate approval status. Add a reaction trigger for an approved request, and one for a denied request. 
Publish all of your workflows.
The Request travel exception form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow posts the request in the channel. 
Reviewers can add reactions to the request message in order to route the travel request through their approval process.. "
See Approve travel requests in action:,"Creating and publishing these workflows takes less than 30 minutes. For this example, you will start by importing the downloadable template, selecting a channel for the workflow, and customizing the form fields to gather relevant information for the request. You can also include a message sent directly to the person who has submitted the request to inform them of next steps, an estimated response time, and provide a copy of their responses. 
Next, you’ll create a second workflow using the reaction-added trigger. Choose a reaction to use on the form response that is posted in the channel. If you want to prompt people to get their manager’s approval before proceeding with the review, you can use a reaction that sends a message to the Message thread. 
Repeat step 2 for each reaction that you want to use to indicate approval status. Add a reaction trigger for an approved request, and one for a denied request. 
Publish all of your workflows.
The Request travel exception form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow posts the request in the channel. 
Reviewers can add reactions to the request message in order to route the travel request through their approval process.","What’s Approve travel requests handy for?:Quickly implementing an approval process for new standards and procedures at your company – especially if the process is temporary, or when you lack the resources to build it into your system of record.A few uses for this workflow:Managers: manage and organize a team’s requests in one central location
Sales: request approval to visit key accounts during times of travel restrictionFor an approval process, you’ll create multiple workflows that operate in tandem. With one workflow, people will use a shortcut to submit a request for approval. The other workflows utilize the reaction-added trigger to ask follow up questions, approve/deny the request, or route to a private channel for discussion.. To Approve travel requests get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Create additional workflows as needed
Publish your workflows, and let everyone know about your masterpiece. See Approve travel requests in action:Creating and publishing these workflows takes less than 30 minutes. For this example, you will start by importing the downloadable template, selecting a channel for the workflow, and customizing the form fields to gather relevant information for the request. You can also include a message sent directly to the person who has submitted the request to inform them of next steps, an estimated response time, and provide a copy of their responses. 
Next, you’ll create a second workflow using the reaction-added trigger. Choose a reaction to use on the form response that is posted in the channel. If you want to prompt people to get their manager’s approval before proceeding with the review, you can use a reaction that sends a message to the Message thread. 
Repeat step 2 for each reaction that you want to use to indicate approval status. Add a reaction trigger for an approved request, and one for a denied request. 
Publish all of your workflows.
The Request travel exception form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow posts the request in the channel. 
Reviewers can add reactions to the request message in order to route the travel request through their approval process.. "
Approve travel requests  tip uses:,Slack features,"Approve travel requests  tip uses:Slack features. Approve travel requests Prep:Under 30 mins. Approve travel requests Slack skill level:Intermediate. Approve travel requests Results: Transparent and timely approvals. Approve travel requests Useful for: Managers, process owners. "
Approve travel requests Prep,Under 30 mins,"Approve travel requests  tip uses:Slack features. Approve travel requests Prep:Under 30 mins. Approve travel requests Slack skill level:Intermediate. Approve travel requests Results: Transparent and timely approvals. Approve travel requests Useful for: Managers, process owners. "
Approve travel requests Slack skill level,Intermediate,"Approve travel requests  tip uses:Slack features. Approve travel requests Prep:Under 30 mins. Approve travel requests Slack skill level:Intermediate. Approve travel requests Results: Transparent and timely approvals. Approve travel requests Useful for: Managers, process owners. "
Approve travel requests Results:, Transparent and timely approvals,"Approve travel requests  tip uses:Slack features. Approve travel requests Prep:Under 30 mins. Approve travel requests Slack skill level:Intermediate. Approve travel requests Results: Transparent and timely approvals. Approve travel requests Useful for: Managers, process owners. "
Approve travel requests Useful for:," Managers, process owners","Approve travel requests  tip uses:Slack features. Approve travel requests Prep:Under 30 mins. Approve travel requests Slack skill level:Intermediate. Approve travel requests Results: Transparent and timely approvals. Approve travel requests Useful for: Managers, process owners. "
What’s Update teammates on your work status handy for?,"Standardize the way your teammates report where they’re working from with Workflow Builder.Reporting work status is great for:Teammates who are working from home, going on PTO, or working from a different office than usual
Managers who are trying to keep track of their teams’ whereaboutsWith this workflow, people can easily complete a form to let people know where they’re working from. The form response is automatically sent to the channel, so teammates can keep track of each other.","What’s Update teammates on your work status handy for?:Standardize the way your teammates report where they’re working from with Workflow Builder.Reporting work status is great for:Teammates who are working from home, going on PTO, or working from a different office than usual
Managers who are trying to keep track of their teams’ whereaboutsWith this workflow, people can easily complete a form to let people know where they’re working from. The form response is automatically sent to the channel, so teammates can keep track of each other.. To Update teammates on your work status get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Update teammates on your work status in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form fields to gather relevant work status details. 
The form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow automatically formats the details and posts work status in your channel of choice, so your team can stay informed.. "
To Update teammates on your work status get started:,"Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece","What’s Update teammates on your work status handy for?:Standardize the way your teammates report where they’re working from with Workflow Builder.Reporting work status is great for:Teammates who are working from home, going on PTO, or working from a different office than usual
Managers who are trying to keep track of their teams’ whereaboutsWith this workflow, people can easily complete a form to let people know where they’re working from. The form response is automatically sent to the channel, so teammates can keep track of each other.. To Update teammates on your work status get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Update teammates on your work status in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form fields to gather relevant work status details. 
The form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow automatically formats the details and posts work status in your channel of choice, so your team can stay informed.. "
See Update teammates on your work status in action:,"Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form fields to gather relevant work status details. 
The form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow automatically formats the details and posts work status in your channel of choice, so your team can stay informed.","What’s Update teammates on your work status handy for?:Standardize the way your teammates report where they’re working from with Workflow Builder.Reporting work status is great for:Teammates who are working from home, going on PTO, or working from a different office than usual
Managers who are trying to keep track of their teams’ whereaboutsWith this workflow, people can easily complete a form to let people know where they’re working from. The form response is automatically sent to the channel, so teammates can keep track of each other.. To Update teammates on your work status get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Update teammates on your work status in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form fields to gather relevant work status details. 
The form can be launched by anyone in the channel using the shortcut menu. 
Once the form is submitted, the workflow automatically formats the details and posts work status in your channel of choice, so your team can stay informed.. "
Update teammates on your work status  tip uses:,Slack features,"Update teammates on your work status  tip uses:Slack features. Update teammates on your work status Prep:Under 5 mins. Update teammates on your work status Slack skill level:Beginner. Update teammates on your work status Results: Informed teammates, stronger team culture. Update teammates on your work status Useful for: Managers; anyone who’s not working in their usual office location. "
Update teammates on your work status Prep,Under 5 mins,"Update teammates on your work status  tip uses:Slack features. Update teammates on your work status Prep:Under 5 mins. Update teammates on your work status Slack skill level:Beginner. Update teammates on your work status Results: Informed teammates, stronger team culture. Update teammates on your work status Useful for: Managers; anyone who’s not working in their usual office location. "
Update teammates on your work status Slack skill level,Beginner,"Update teammates on your work status  tip uses:Slack features. Update teammates on your work status Prep:Under 5 mins. Update teammates on your work status Slack skill level:Beginner. Update teammates on your work status Results: Informed teammates, stronger team culture. Update teammates on your work status Useful for: Managers; anyone who’s not working in their usual office location. "
Update teammates on your work status Results:," Informed teammates, stronger team culture","Update teammates on your work status  tip uses:Slack features. Update teammates on your work status Prep:Under 5 mins. Update teammates on your work status Slack skill level:Beginner. Update teammates on your work status Results: Informed teammates, stronger team culture. Update teammates on your work status Useful for: Managers; anyone who’s not working in their usual office location. "
Update teammates on your work status Useful for:, Managers; anyone who’s not working in their usual office location,"Update teammates on your work status  tip uses:Slack features. Update teammates on your work status Prep:Under 5 mins. Update teammates on your work status Slack skill level:Beginner. Update teammates on your work status Results: Informed teammates, stronger team culture. Update teammates on your work status Useful for: Managers; anyone who’s not working in their usual office location. "
What’s Customize team reminders handy for?,"Automate reminders – especially those that require team members to submit information – in order to gather information on a recurring basis.A few uses for this workflow:Sales: Submit end-of-month expenses
Project Managers: Send end-of-week status updates
Managers: Collect performance self-reflections from a team on a weekly basisWith this workflow, you can send a message to a channel on a recurring frequency to remind a group of people to take action. The workflow message gives more flexibility for delivering content than regular Slack reminders.","What’s Customize team reminders handy for?:Automate reminders – especially those that require team members to submit information – in order to gather information on a recurring basis.A few uses for this workflow:Sales: Submit end-of-month expenses
Project Managers: Send end-of-week status updates
Managers: Collect performance self-reflections from a team on a weekly basisWith this workflow, you can send a message to a channel on a recurring frequency to remind a group of people to take action. The workflow message gives more flexibility for delivering content than regular Slack reminders.. To Customize team reminders get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Customize team reminders in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template and select the date, time,  frequency, and channel where the reminder should post.
When the date and time arrive, your reminder message will be automatically posted to the designated channel.
You could also opt to include a DM to individual team members with a call-to-action to fill out a form. To do this, add a form step that sends to every member of the team.
People will see the in-channel reminder, prompting them to visit Slackbot to complete their self-review.
In Slackbot, each team member will have a DM with a button to fill out the form.. "
To Customize team reminders get started:,"Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece","What’s Customize team reminders handy for?:Automate reminders – especially those that require team members to submit information – in order to gather information on a recurring basis.A few uses for this workflow:Sales: Submit end-of-month expenses
Project Managers: Send end-of-week status updates
Managers: Collect performance self-reflections from a team on a weekly basisWith this workflow, you can send a message to a channel on a recurring frequency to remind a group of people to take action. The workflow message gives more flexibility for delivering content than regular Slack reminders.. To Customize team reminders get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Customize team reminders in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template and select the date, time,  frequency, and channel where the reminder should post.
When the date and time arrive, your reminder message will be automatically posted to the designated channel.
You could also opt to include a DM to individual team members with a call-to-action to fill out a form. To do this, add a form step that sends to every member of the team.
People will see the in-channel reminder, prompting them to visit Slackbot to complete their self-review.
In Slackbot, each team member will have a DM with a button to fill out the form.. "
See Customize team reminders in action:,"Creating and publishing the workflow takes only a few minutes. Import the downloadable template and select the date, time,  frequency, and channel where the reminder should post.
When the date and time arrive, your reminder message will be automatically posted to the designated channel.
You could also opt to include a DM to individual team members with a call-to-action to fill out a form. To do this, add a form step that sends to every member of the team.
People will see the in-channel reminder, prompting them to visit Slackbot to complete their self-review.
In Slackbot, each team member will have a DM with a button to fill out the form.","What’s Customize team reminders handy for?:Automate reminders – especially those that require team members to submit information – in order to gather information on a recurring basis.A few uses for this workflow:Sales: Submit end-of-month expenses
Project Managers: Send end-of-week status updates
Managers: Collect performance self-reflections from a team on a weekly basisWith this workflow, you can send a message to a channel on a recurring frequency to remind a group of people to take action. The workflow message gives more flexibility for delivering content than regular Slack reminders.. To Customize team reminders get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Customize team reminders in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template and select the date, time,  frequency, and channel where the reminder should post.
When the date and time arrive, your reminder message will be automatically posted to the designated channel.
You could also opt to include a DM to individual team members with a call-to-action to fill out a form. To do this, add a form step that sends to every member of the team.
People will see the in-channel reminder, prompting them to visit Slackbot to complete their self-review.
In Slackbot, each team member will have a DM with a button to fill out the form.. "
Customize team reminders  tip uses:,Slack features,"Customize team reminders  tip uses:Slack features. Customize team reminders Prep:Under 10 mins. Customize team reminders Slack skill level:Intermediate. Customize team reminders Results: Gather information from a team on a recurring basis.. Customize team reminders Useful for: Team leaders, all team members. "
Customize team reminders Prep,Under 10 mins,"Customize team reminders  tip uses:Slack features. Customize team reminders Prep:Under 10 mins. Customize team reminders Slack skill level:Intermediate. Customize team reminders Results: Gather information from a team on a recurring basis.. Customize team reminders Useful for: Team leaders, all team members. "
Customize team reminders Slack skill level,Intermediate,"Customize team reminders  tip uses:Slack features. Customize team reminders Prep:Under 10 mins. Customize team reminders Slack skill level:Intermediate. Customize team reminders Results: Gather information from a team on a recurring basis.. Customize team reminders Useful for: Team leaders, all team members. "
Customize team reminders Results:, Gather information from a team on a recurring basis.,"Customize team reminders  tip uses:Slack features. Customize team reminders Prep:Under 10 mins. Customize team reminders Slack skill level:Intermediate. Customize team reminders Results: Gather information from a team on a recurring basis.. Customize team reminders Useful for: Team leaders, all team members. "
Customize team reminders Useful for:," Team leaders, all team members","Customize team reminders  tip uses:Slack features. Customize team reminders Prep:Under 10 mins. Customize team reminders Slack skill level:Intermediate. Customize team reminders Results: Gather information from a team on a recurring basis.. Customize team reminders Useful for: Team leaders, all team members. "
What’s Schedule messages in the future handy for?,"Draft and review important messages, and schedule them to post at a date and time in the future in channel. Enjoy peace of mind, knowing that your announcement is delivered to the team right on time, even when you’re on-the-go.A few uses for this workflow:Team leaders: Announce changes to team structure
Project Managers: Circulate project milestones
Execs: Schedule time-sensitive company-wide announcementsWith this workflow, you’ll select a date and time for your message to post, and customize the body of the message. Once published, the workflow will send the message to the designated channel(s) on the date and time you chose.","What’s Schedule messages in the future handy for?:Draft and review important messages, and schedule them to post at a date and time in the future in channel. Enjoy peace of mind, knowing that your announcement is delivered to the team right on time, even when you’re on-the-go.A few uses for this workflow:Team leaders: Announce changes to team structure
Project Managers: Circulate project milestones
Execs: Schedule time-sensitive company-wide announcementsWith this workflow, you’ll select a date and time for your message to post, and customize the body of the message. Once published, the workflow will send the message to the designated channel(s) on the date and time you chose.. To Schedule messages in the future get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Schedule messages in the future in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select the date, time, and channel where the message should post, and customize the message with any information, emoji, context or links.
When the date and time arrive, your message will be automatically posted to the designated channel.. "
To Schedule messages in the future get started:,"Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece","What’s Schedule messages in the future handy for?:Draft and review important messages, and schedule them to post at a date and time in the future in channel. Enjoy peace of mind, knowing that your announcement is delivered to the team right on time, even when you’re on-the-go.A few uses for this workflow:Team leaders: Announce changes to team structure
Project Managers: Circulate project milestones
Execs: Schedule time-sensitive company-wide announcementsWith this workflow, you’ll select a date and time for your message to post, and customize the body of the message. Once published, the workflow will send the message to the designated channel(s) on the date and time you chose.. To Schedule messages in the future get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Schedule messages in the future in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select the date, time, and channel where the message should post, and customize the message with any information, emoji, context or links.
When the date and time arrive, your message will be automatically posted to the designated channel.. "
See Schedule messages in the future in action:,"Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select the date, time, and channel where the message should post, and customize the message with any information, emoji, context or links.
When the date and time arrive, your message will be automatically posted to the designated channel.","What’s Schedule messages in the future handy for?:Draft and review important messages, and schedule them to post at a date and time in the future in channel. Enjoy peace of mind, knowing that your announcement is delivered to the team right on time, even when you’re on-the-go.A few uses for this workflow:Team leaders: Announce changes to team structure
Project Managers: Circulate project milestones
Execs: Schedule time-sensitive company-wide announcementsWith this workflow, you’ll select a date and time for your message to post, and customize the body of the message. Once published, the workflow will send the message to the designated channel(s) on the date and time you chose.. To Schedule messages in the future get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Schedule messages in the future in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select the date, time, and channel where the message should post, and customize the message with any information, emoji, context or links.
When the date and time arrive, your message will be automatically posted to the designated channel.. "
Schedule messages in the future  tip uses:,Slack features,"Schedule messages in the future  tip uses:Slack features. Schedule messages in the future Prep:Under 5 mins. Schedule messages in the future Slack skill level:Beginner. Schedule messages in the future Results: A more informed team, right on time. Schedule messages in the future Useful for: Team leaders, project managers. "
Schedule messages in the future Prep,Under 5 mins,"Schedule messages in the future  tip uses:Slack features. Schedule messages in the future Prep:Under 5 mins. Schedule messages in the future Slack skill level:Beginner. Schedule messages in the future Results: A more informed team, right on time. Schedule messages in the future Useful for: Team leaders, project managers. "
Schedule messages in the future Slack skill level,Beginner,"Schedule messages in the future  tip uses:Slack features. Schedule messages in the future Prep:Under 5 mins. Schedule messages in the future Slack skill level:Beginner. Schedule messages in the future Results: A more informed team, right on time. Schedule messages in the future Useful for: Team leaders, project managers. "
Schedule messages in the future Results:," A more informed team, right on time","Schedule messages in the future  tip uses:Slack features. Schedule messages in the future Prep:Under 5 mins. Schedule messages in the future Slack skill level:Beginner. Schedule messages in the future Results: A more informed team, right on time. Schedule messages in the future Useful for: Team leaders, project managers. "
Schedule messages in the future Useful for:," Team leaders, project managers","Schedule messages in the future  tip uses:Slack features. Schedule messages in the future Prep:Under 5 mins. Schedule messages in the future Slack skill level:Beginner. Schedule messages in the future Results: A more informed team, right on time. Schedule messages in the future Useful for: Team leaders, project managers. "
What’s Coordinate needs across shared channels handy for?,"Collaboration happens both within and beyond the walls of your organization. Create workflows for a shared channel to automatically route your requests to the right people at a partner org, and get your needs met faster.A few uses for this workflow:Submit requests to external partners, like a travel booking agency (see example below)
Have customers send feedback or needs directly to your team’s support channel
Onboard new accounts into your shared channel","What’s Coordinate needs across shared channels handy for?:Collaboration happens both within and beyond the walls of your organization. Create workflows for a shared channel to automatically route your requests to the right people at a partner org, and get your needs met faster.A few uses for this workflow:Submit requests to external partners, like a travel booking agency (see example below)
Have customers send feedback or needs directly to your team’s support channel
Onboard new accounts into your shared channel. To Coordinate needs across shared channels get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Coordinate needs across shared channels in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form with the info you’d like to collect. Then, add a message step that specifies which channel(s) to route the details to, such as the Shared Channel with a partner organization.
The form can be launched by anyone in the shortcut menu.
The request will automatically post in channel, notifying the team that is responsible.
After your team approves the request, you can forward it to your partner agency with just a click. They can begin a conversation in thread or simply confirm that the request has been fulfilled, all within your shared channel.. "
To Coordinate needs across shared channels get started:,"Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece","What’s Coordinate needs across shared channels handy for?:Collaboration happens both within and beyond the walls of your organization. Create workflows for a shared channel to automatically route your requests to the right people at a partner org, and get your needs met faster.A few uses for this workflow:Submit requests to external partners, like a travel booking agency (see example below)
Have customers send feedback or needs directly to your team’s support channel
Onboard new accounts into your shared channel. To Coordinate needs across shared channels get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Coordinate needs across shared channels in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form with the info you’d like to collect. Then, add a message step that specifies which channel(s) to route the details to, such as the Shared Channel with a partner organization.
The form can be launched by anyone in the shortcut menu.
The request will automatically post in channel, notifying the team that is responsible.
After your team approves the request, you can forward it to your partner agency with just a click. They can begin a conversation in thread or simply confirm that the request has been fulfilled, all within your shared channel.. "
See Coordinate needs across shared channels in action:,"Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form with the info you’d like to collect. Then, add a message step that specifies which channel(s) to route the details to, such as the Shared Channel with a partner organization.
The form can be launched by anyone in the shortcut menu.
The request will automatically post in channel, notifying the team that is responsible.
After your team approves the request, you can forward it to your partner agency with just a click. They can begin a conversation in thread or simply confirm that the request has been fulfilled, all within your shared channel.","What’s Coordinate needs across shared channels handy for?:Collaboration happens both within and beyond the walls of your organization. Create workflows for a shared channel to automatically route your requests to the right people at a partner org, and get your needs met faster.A few uses for this workflow:Submit requests to external partners, like a travel booking agency (see example below)
Have customers send feedback or needs directly to your team’s support channel
Onboard new accounts into your shared channel. To Coordinate needs across shared channels get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Coordinate needs across shared channels in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow, and customize the form with the info you’d like to collect. Then, add a message step that specifies which channel(s) to route the details to, such as the Shared Channel with a partner organization.
The form can be launched by anyone in the shortcut menu.
The request will automatically post in channel, notifying the team that is responsible.
After your team approves the request, you can forward it to your partner agency with just a click. They can begin a conversation in thread or simply confirm that the request has been fulfilled, all within your shared channel.. "
Coordinate needs across shared channels  tip uses:,Slack features,"Coordinate needs across shared channels  tip uses:Slack features. Coordinate needs across shared channels Prep:Under 30 mins. Coordinate needs across shared channels Slack skill level:Intermediate. Coordinate needs across shared channels Results: Make requests across organizations through Shared Channels. Coordinate needs across shared channels Useful for: Project managers, team leaders. "
Coordinate needs across shared channels Prep,Under 30 mins,"Coordinate needs across shared channels  tip uses:Slack features. Coordinate needs across shared channels Prep:Under 30 mins. Coordinate needs across shared channels Slack skill level:Intermediate. Coordinate needs across shared channels Results: Make requests across organizations through Shared Channels. Coordinate needs across shared channels Useful for: Project managers, team leaders. "
Coordinate needs across shared channels Slack skill level,Intermediate,"Coordinate needs across shared channels  tip uses:Slack features. Coordinate needs across shared channels Prep:Under 30 mins. Coordinate needs across shared channels Slack skill level:Intermediate. Coordinate needs across shared channels Results: Make requests across organizations through Shared Channels. Coordinate needs across shared channels Useful for: Project managers, team leaders. "
Coordinate needs across shared channels Results:, Make requests across organizations through Shared Channels,"Coordinate needs across shared channels  tip uses:Slack features. Coordinate needs across shared channels Prep:Under 30 mins. Coordinate needs across shared channels Slack skill level:Intermediate. Coordinate needs across shared channels Results: Make requests across organizations through Shared Channels. Coordinate needs across shared channels Useful for: Project managers, team leaders. "
Coordinate needs across shared channels Useful for:," Project managers, team leaders","Coordinate needs across shared channels  tip uses:Slack features. Coordinate needs across shared channels Prep:Under 30 mins. Coordinate needs across shared channels Slack skill level:Intermediate. Coordinate needs across shared channels Results: Make requests across organizations through Shared Channels. Coordinate needs across shared channels Useful for: Project managers, team leaders. "
What’s Simplify recurring progress updates handy for?,"Save yourself from the time spent crafting recurring status updates. With Workflow Builder, you can standardize the format of routine posts in your team’s Slack channel, making it easier for everyone to digest and respond in real-time.A few uses for this workflow:Project Managers: Weekly status updates
Product teams: Daily standups
Managers: Monthly team metrics
Operations: Status reportsWith this workflow, you can input status update information into a form. The workflow automatically formats the information and shares it for the designated channel(s) to read.","What’s Simplify recurring progress updates handy for?:Save yourself from the time spent crafting recurring status updates. With Workflow Builder, you can standardize the format of routine posts in your team’s Slack channel, making it easier for everyone to digest and respond in real-time.A few uses for this workflow:Project Managers: Weekly status updates
Product teams: Daily standups
Managers: Monthly team metrics
Operations: Status reportsWith this workflow, you can input status update information into a form. The workflow automatically formats the information and shares it for the designated channel(s) to read.. To Simplify recurring progress updates get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Simplify recurring progress updates in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow and customize the form with the info you’d normally share in a status update.
The form can be launched by anyone in the channel using the shortcut menu.
Once the form is submitted, the workflow automatically formats the information and shares it with designated channel(s) to read. It also shares the status update with the submitter as a direct message, for easy reference.. "
To Simplify recurring progress updates get started:,"Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece","What’s Simplify recurring progress updates handy for?:Save yourself from the time spent crafting recurring status updates. With Workflow Builder, you can standardize the format of routine posts in your team’s Slack channel, making it easier for everyone to digest and respond in real-time.A few uses for this workflow:Project Managers: Weekly status updates
Product teams: Daily standups
Managers: Monthly team metrics
Operations: Status reportsWith this workflow, you can input status update information into a form. The workflow automatically formats the information and shares it for the designated channel(s) to read.. To Simplify recurring progress updates get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Simplify recurring progress updates in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow and customize the form with the info you’d normally share in a status update.
The form can be launched by anyone in the channel using the shortcut menu.
Once the form is submitted, the workflow automatically formats the information and shares it with designated channel(s) to read. It also shares the status update with the submitter as a direct message, for easy reference.. "
See Simplify recurring progress updates in action:,"Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow and customize the form with the info you’d normally share in a status update.
The form can be launched by anyone in the channel using the shortcut menu.
Once the form is submitted, the workflow automatically formats the information and shares it with designated channel(s) to read. It also shares the status update with the submitter as a direct message, for easy reference.","What’s Simplify recurring progress updates handy for?:Save yourself from the time spent crafting recurring status updates. With Workflow Builder, you can standardize the format of routine posts in your team’s Slack channel, making it easier for everyone to digest and respond in real-time.A few uses for this workflow:Project Managers: Weekly status updates
Product teams: Daily standups
Managers: Monthly team metrics
Operations: Status reportsWith this workflow, you can input status update information into a form. The workflow automatically formats the information and shares it for the designated channel(s) to read.. To Simplify recurring progress updates get started:Download the example
Navigate to Workflow Builder and select “Import”
Once imported, edit the workflow to make sense for your team
Publish and let everyone know about your masterpiece. See Simplify recurring progress updates in action:Creating and publishing the workflow takes only a few minutes. Import the downloadable template, select a channel for the workflow and customize the form with the info you’d normally share in a status update.
The form can be launched by anyone in the channel using the shortcut menu.
Once the form is submitted, the workflow automatically formats the information and shares it with designated channel(s) to read. It also shares the status update with the submitter as a direct message, for easy reference.. "
Simplify recurring progress updates  tip uses:,Slack features,"Simplify recurring progress updates  tip uses:Slack features. Simplify recurring progress updates Prep:Under 10 mins. Simplify recurring progress updates Slack skill level:Intermediate. Simplify recurring progress updates Results: An easier view into everyone’s goings-on. Simplify recurring progress updates Useful for: Project managers, all team members. "
